,order_details_id,order_id,order_date,order_time,item_id
0,1,1,1/1/23,11:38:36 AM,109
1,2,2,1/1/23,11:57:40 AM,108
2,3,2,1/1/23,11:57:40 AM,124
3,4,2,1/1/23,11:57:40 AM,117
4,5,2,1/1/23,11:57:40 AM,129
5,6,2,1/1/23,11:57:40 AM,106
6,7,3,1/1/23,12:12:28 PM,117
7,8,3,1/1/23,12:12:28 PM,119
8,9,4,1/1/23,12:16:31 PM,117
9,10,5,1/1/23,12:21:30 PM,117
10,11,6,1/1/23,12:29:36 PM,101
11,12,6,1/1/23,12:29:36 PM,114
12,13,7,1/1/23,12:50:37 PM,123
13,14,8,1/1/23,12:51:37 PM,123
14,15,9,1/1/23,12:52:01 PM,108
15,16,9,1/1/23,12:52:01 PM,126
16,17,9,1/1/23,12:52:01 PM,110
17,18,9,1/1/23,12:52:01 PM,117
18,19,9,1/1/23,12:52:01 PM,117
19,20,9,1/1/23,12:52:01 PM,129
20,21,9,1/1/23,12:52:01 PM,122
21,22,9,1/1/23,12:52:01 PM,130
22,23,9,1/1/23,12:52:01 PM,132
23,24,10,1/1/23,1:00:15 PM,129
24,25,10,1/1/23,1:00:15 PM,105
25,26,11,1/1/23,1:02:59 PM,101
26,27,11,1/1/23,1:02:59 PM,102
27,28,11,1/1/23,1:02:59 PM,102
28,29,11,1/1/23,1:02:59 PM,113
29,30,12,1/1/23,1:04:41 PM,102
30,31,12,1/1/23,1:04:41 PM,102
31,32,12,1/1/23,1:04:41 PM,104
32,33,12,1/1/23,1:04:41 PM,117
33,34,13,1/1/23,1:11:55 PM,129
34,35,14,1/1/23,1:14:19 PM,114
35,36,15,1/1/23,1:33:00 PM,107
36,37,15,1/1/23,1:33:00 PM,124
37,38,15,1/1/23,1:33:00 PM,121
38,39,15,1/1/23,1:33:00 PM,114
39,40,16,1/1/23,1:34:07 PM,125
40,41,16,1/1/23,1:34:07 PM,111
41,42,16,1/1/23,1:34:07 PM,106
42,43,17,1/1/23,1:53:00 PM,101
43,44,17,1/1/23,1:53:00 PM,116
44,45,17,1/1/23,1:53:00 PM,124
45,46,17,1/1/23,1:53:00 PM,125
46,47,17,1/1/23,1:53:00 PM,117
47,48,17,1/1/23,1:53:00 PM,127
48,49,17,1/1/23,1:53:00 PM,128
49,50,17,1/1/23,1:53:00 PM,129
50,51,17,1/1/23,1:53:00 PM,118
51,52,17,1/1/23,1:53:00 PM,131
52,53,18,1/1/23,1:57:08 PM,111
53,54,19,1/1/23,1:59:09 PM,110
54,55,19,1/1/23,1:59:09 PM,120
55,56,20,1/1/23,2:03:08 PM,107
56,57,20,1/1/23,2:03:08 PM,124
57,58,21,1/1/23,2:14:29 PM,110
58,59,22,1/1/23,2:16:26 PM,124
59,60,22,1/1/23,2:16:26 PM,110
60,61,22,1/1/23,2:16:26 PM,105
61,62,23,1/1/23,2:19:03 PM,105
62,63,24,1/1/23,2:23:01 PM,101
63,64,24,1/1/23,2:23:01 PM,110
64,65,24,1/1/23,2:23:01 PM,113
65,66,24,1/1/23,2:23:01 PM,119
66,67,25,1/1/23,2:44:44 PM,120
67,68,25,1/1/23,2:44:44 PM,106
68,69,26,1/1/23,2:54:26 PM,108
69,70,26,1/1/23,2:54:26 PM,132
70,71,27,1/1/23,3:11:17 PM,101
71,72,27,1/1/23,3:11:17 PM,108
72,73,27,1/1/23,3:11:17 PM,131
73,74,28,1/1/23,3:35:46 PM,103
74,75,29,1/1/23,3:41:01 PM,126
75,76,30,1/1/23,3:41:25 PM,106
76,77,31,1/1/23,3:50:18 PM,129
77,78,31,1/1/23,3:50:18 PM,113
78,79,32,1/1/23,3:53:18 PM,107
79,80,32,1/1/23,3:53:18 PM,126
80,81,32,1/1/23,3:53:18 PM,110
81,82,32,1/1/23,3:53:18 PM,117
82,83,33,1/1/23,3:54:08 PM,101
83,84,33,1/1/23,3:54:08 PM,126
84,85,34,1/1/23,4:21:21 PM,114
85,86,35,1/1/23,4:32:04 PM,126
86,87,35,1/1/23,4:32:04 PM,112
87,88,35,1/1/23,4:32:04 PM,113
88,89,35,1/1/23,4:32:04 PM,106
89,90,36,1/1/23,4:54:09 PM,101
